tipo nota09 nota10
publico 7,75 7,25
publico 7,75 6,94
publico 7,74 6,82
publico 7,74 5,57
publico 7,74 4,33
publico 7,73 5,93
privado 7,72 6,23
publico 7,71 5,81
publico 7,71 7,63
publico 7,71 5,0075
concertado 7,7 5,56
privado 7,7 6,67
publico 7,7 6,63
concertado 7,69 7,23
concertado 7,69 6,96
publico 7,68 7,47
publico 7,68 4,95
concertado 7,68 6,7
publico 7,68 5,395
publico 7,67 4,71
concertado 7,67 8,28
publico 7,66 5,59
publico 7,66 5,975
concertado 7,66 6,93
privado 7,66 6,88
publico 7,65 5,24
concertado 7,65 6,7
concertado 7,65 7,08
concertado 7,64 4,81
privado 7,64 6,42
privado 7,63 6,39
publico 7,63 4,7375
publico 7,63 5,6
privado 7,62 6,88
concertado 7,61 5,97
publico 7,6 5,36
privado 7,6 6,96
privado 7,6 7,03
publico 7,6 5,98
concertado 7,6 5,95
privado 7,59 5,67
publico 7,59 6,3375
concertado 7,59 6,04
publico 7,58 4,6325
concertado 7,58 5,8475
publico 7,58 6,81
privado 7,57 6,73
publico 7,57 7,26
publico 7,57 6,42
concertado 7,56 6,09
privado 7,56 7,0675
publico 7,56 5,5
privado 7,55 5,9275
concertado 7,55 6,56
publico 7,55 5,51
concertado 7,54 6,04
publico 7,54 4,98
publico 7,54 7,3175
concertado 7,54 7,06
concertado 7,54 6,47
privado 7,54 7,55
publico 7,53 4,58
privado 7,53 5,96
privado 7,53 6,84
publico 7,53 5,82
concertado 7,53 6,83
concertado 7,53 5,2825
concertado 7,53 6,41
publico 7,52 7,0825
publico 7,52 5,5675
concertado 7,52 6,72
privado 7,52 7,04
privado 7,51 6,4
concertado 7,51 7,14
concertado 7,51 5,11
concertado 7,51 5,03
concertado 7,5 5,09
publico 7,5 5,8125
concertado 7,5 5,89
concertado 7,49 6,97
publico 7,48 4,69
publico 7,48 5,2
privado 7,48 6,125
publico 7,48 5,41
publico 7,48 3,9275
concertado 7,48 6,48
privado 7,48 6,16
publico 7,48 5,5825
concertado 7,48 6,56
privado 7,48 6,95
privado 7,47 7,1725
concertado 7,47 5,52
concertado 7,47 5,43
publico 7,47 4,28
concertado 7,47 5,9
publico 7,47 5,85
publico 7,47 5,59
publico 7,47 7,2875
concertado 7,46 6,69
publico 7,46 7,09
publico 7,46 4,43
concertado 7,45 5,85
concertado 7,45 5,48
concertado 7,45 6,265
publico 7,45 6,13
privado 7,45 6,37
concertado 7,45 7,43
publico 7,44 6,02
publico 7,44 6,25
publico 7,44 6,57
publico 7,44 6,15
publico 7,44 7,64
publico 7,44 7,88
concertado 7,44 6,45
concertado 7,43 5,41
concertado 7,43 5,01
concertado 7,43 5,97
concertado 7,42 5,28
publico 7,42 4,96
publico 7,42 4,27
publico 7,42 5,7
publico 7,42 4,62
publico 7,41 6,3125
concertado 7,41 7,26
publico 7,41 4,25
concertado 7,41 6,795
publico 7,41 5,835
publico 7,4 5,65
publico 7,4 6,18
publico 7,39 4,5125
publico 7,39 4,75
publico 7,39 5,92
privado 7,39 6,53
publico 7,39 7,49
publico 7,39 5,45
concertado 7,39 6,83
privado 7,39 6,3
publico 7,38 5,45
concertado 7,38 6,04
publico 7,38 5,1
publico 7,38 2,875
publico 7,38 5,73
concertado 7,38 6,11
concertado 7,38 6,44
privado 7,38 5,75
concertado 7,38 6,6
publico 7,38 5,02
concertado 7,38 5,95
concertado 7,37 5,81
concertado 7,37 6,93
concertado 7,36 4,18
concertado 7,36 5,83
concertado 7,36 5,31
concertado 7,36 5,72
concertado 7,35 6,12
privado 7,35 7,075
concertado 7,35 5,02
publico 7,35 4,48
publico 7,35 5,5
publico 7,35 6,07
publico 7,35 6,56
publico 7,35 4,66
concertado 7,34 6,18
privado 7,34 6,81
publico 7,34 5,25
concertado 7,34 3,73
concertado 7,34 6,3275
publico 7,33 5,18
concertado 7,33 5,35
concertado 7,33 5,79
publico 7,33 5,22
privado 7,33 5,24
publico 7,32 4,5
concertado 7,32 6,21
concertado 7,32 5,84
concertado 7,32 6,88
privado 7,31 6,185
publico 7,31 6,87
concertado 7,3 6,34
publico 7,29 5,79
publico 7,29 5,88
privado 7,29 5,94
concertado 7,29 6,27
concertado 7,29 3,95
publico 7,29 7,17
concertado 7,28 5,99
publico 7,27 2,06
publico 7,27 6,1125
publico 7,27 5,96
publico 7,27 6,33
publico 7,27 4,48
concertado 7,26 6,57
publico 7,26 4,45
concertado 7,25 7
concertado 7,25 6,28
privado 7,25 6,01
publico 7,25 4,78
privado 7,25 7,31
publico 7,24 5,34
concertado 7,24 7,06
concertado 7,24 7,03
publico 7,23 5,14
publico 7,23 5,8375
publico 7,23 5,445
publico 7,23 4,96
publico 7,23 3,7775
concertado 7,23 6,74
publico 7,23 5,42
publico 7,23 6,94
publico 7,23 3,8
privado 7,22 7,5
concertado 7,22 6,13
publico 7,22 4,47
publico 7,22 5,3025
publico 7,22 5,34
concertado 7,22 5,87
publico 7,22 5,65
publico 7,21 6,32
concertado 7,21 6,53
concertado 7,2 4,96
publico 7,19 4
publico 7,19 4,84
concertado 7,19 6,2
publico 7,19 4,32
publico 7,19 6,08
concertado 7,19 4,89
publico 7,18 7,72
publico 7,18 6,1
concertado 7,18 6,84
publico 7,18 6,51
publico 7,18 6,4025
publico 7,17 5,13
publico 7,17 7,61
concertado 7,17 6,32
privado 7,17 6,35
publico 7,17 5,5875
publico 7,17 5,82
privado 7,17 6,5875
concertado 7,16 5,73
concertado 7,16 4,9225
concertado 7,16 5,99
publico 7,16 4,03
publico 7,16 6,08
concertado 7,15 6,04
publico 7,15 5,1975
publico 7,14 5,86
privado 7,14 6,45
publico 7,14 7,06
publico 7,13 6,64
publico 7,13 5,7275
concertado 7,13 5,28
publico 7,13 5,875
publico 7,12 4,16
concertado 7,12 5,8175
publico 7,12 4,29
concertado 7,12 5,6
concertado 7,11 7,03
publico 7,11 5,92
concertado 7,11 7,87
publico 7,1 6,905
privado 7,1 5,39
concertado 7,1 6,43
publico 7,1 6,85
concertado 7,1 6,43
publico 7,1 5,3
privado 7,1 6,14
publico 7,1 5
concertado 7,1 5,2925
publico 7,09 3,77
concertado 7,09 5,39
publico 7,09 5,7
publico 7,08 4,74
publico 7,08 6,07
publico 7,08 6,17
concertado 7,08 5,82
concertado 7,07 5,26
privado 7,07 5,93
publico 7,07 6,625
concertado 7,06 5,66
concertado 7,06 6,38
privado 7,06 8,4
privado 7,06 5,79
publico 7,06 5,41
publico 7,05 5,495
concertado 7,05 6,6125
concertado 7,05 6,17
privado 7,05 6,09
concertado 7,05 5,63
concertado 7,04 5,94
publico 7,04 5,8875
publico 7,04 5,54
publico 7,03 6,36
concertado 7,03 5,9175
publico 7,03 6,01
privado 7,03 6,1475
concertado 7,03 5,08
publico 7,03 5,13
concertado 7,02 6,14
publico 7,02 5,63
concertado 7,02 5,42
concertado 7,02 5,44
publico 7,02 5,96
publico 7,02 6,085
concertado 7,02 6,55
publico 7,01 6,67
publico 7,01 6,65
publico 7,01 6,3575
concertado 7,01 5,13
publico 7,01 5,06
concertado 7,01 5,96
concertado 7 6,405
publico 7 6,455
publico 6,99 6,34
concertado 6,99 6,64
publico 6,99 5,14
publico 6,99 6,03
publico 6,99 6,34
concertado 6,99 5,13
publico 6,98 5,65
concertado 6,98 5,92
concertado 6,98 5,78
concertado 6,98 5,465
concertado 6,98 5,48
publico 6,98 5,26
concertado 6,97 5,71
concertado 6,97 6,0125
concertado 6,96 4,67
concertado 6,96 7,1175
concertado 6,96 6,5
concertado 6,96 6,47
concertado 6,96 4,57
concertado 6,96 6,57
concertado 6,95 5,23
concertado 6,95 5,27
concertado 6,95 5,39
publico 6,95 5,365
publico 6,95 4,15
publico 6,94 5,51
publico 6,94 5,5075
publico 6,94 4,86
concertado 6,93 5,15
concertado 6,93 5,98
publico 6,93 5,56
concertado 6,93 5,73
concertado 6,93 6,52
concertado 6,92 5,42
concertado 6,92 0
concertado 6,92 5,15
publico 6,92 3,97
concertado 6,91 4,18
publico 6,91 5,24
concertado 6,91 5,14
publico 6,91 3,87
concertado 6,9 5,74
publico 6,9 6,04
concertado 6,9 5,27
publico 6,9 6,68
publico 6,9 5,05
publico 6,89 4,98
concertado 6,89 6,56
concertado 6,89 5,9
concertado 6,89 6,51
publico 6,89 6,66
publico 6,89 4,7575
concertado 6,88 6,05
publico 6,88 6,0925
concertado 6,88 4,48
concertado 6,88 5,49
publico 6,88 5,72
concertado 6,88 0
concertado 6,88 3,58
publico 6,88 5,28
concertado 6,88 5,95
privado 6,88 6,54
concertado 6,87 3,83
concertado 6,87 5,68
concertado 6,86 5,73
publico 6,86 4,6
concertado 6,86 5,98
publico 6,86 4,25
publico 6,86 0
concertado 6,86 7,51
concertado 6,86 5,26
concertado 6,86 6,06
publico 6,86 4,9
publico 6,86 5,31
concertado 6,86 4,59
concertado 6,85 5,48
concertado 6,85 6,2
publico 6,84 5,28
concertado 6,84 5,31
publico 6,84 6,4625
publico 6,84 6,28
concertado 6,83 5,2825
publico 6,83 4,0225
concertado 6,82 5,2325
publico 6,82 5,04
concertado 6,82 6,49
concertado 6,81 5,22
publico 6,81 5,94
publico 6,81 5,78
publico 6,81 4,78
publico 6,8 5,74
publico 6,8 5,04
concertado 6,8 5,67
publico 6,8 5,4425
concertado 6,79 6,04
concertado 6,79 6,7825
publico 6,79 5,49
publico 6,79 5,635
publico 6,79 6,93
publico 6,79 4,85
publico 6,79 4,56
concertado 6,78 4,19
privado 6,78 6,25
concertado 6,78 4,88
publico 6,78 6,5
publico 6,78 4,7675
publico 6,77 6,55
concertado 6,77 6,18
publico 6,77 6,0925
publico 6,77 6,32
publico 6,77 5,0175
publico 6,76 4,37
publico 6,76 6,07
concertado 6,76 5,25
publico 6,76 6,485
publico 6,76 6,14
publico 6,76 5,78
publico 6,75 5,78
concertado 6,75 6,18
publico 6,75 5,25
publico 6,75 7,21
publico 6,75 7,75
concertado 6,75 4,45
publico 6,75 4,76
privado 6,75 6,1
publico 6,74 5,82
publico 6,74 3,785
publico 6,74 3,87
publico 6,74 5,85
concertado 6,73 4,69
privado 6,73 6,18
publico 6,73 4,98
publico 6,73 5,04
publico 6,73 5,32
privado 6,72 7,44
publico 6,72 4,09
publico 6,72 4,52
publico 6,72 5,12
publico 6,71 5,17
concertado 6,71 6,5
publico 6,71 5,18
concertado 6,71 4,6625
publico 6,7 4,3
publico 6,7 5,7
publico 6,7 4,1775
publico 6,7 5,76
publico 6,7 4,3375
concertado 6,69 5,6
concertado 6,69 5,16
concertado 6,69 7,21
publico 6,69 5,34
publico 6,69 5,4075
concertado 6,68 5,5625
publico 6,68 6,22
publico 6,68 4,41
publico 6,68 4,17
publico 6,68 6,51
privado 6,68 7,15
concertado 6,68 5,23
publico 6,68 3,26
privado 6,67 7,22
publico 6,67 5,41
publico 6,66 5,4
concertado 6,66 4,44
concertado 6,66 5,2
publico 6,65 6,09
concertado 6,64 5,02
publico 6,64 5,765
concertado 6,64 5,16
concertado 6,64 5,48
publico 6,64 5,97
concertado 6,64 7,1
privado 6,63 5,2725
publico 6,63 6,45
concertado 6,63 6,15
publico 6,63 6,1
concertado 6,63 6,4
privado 6,63 5,51
concertado 6,63 6,39
concertado 6,63 5,06
publico 6,63 5,86
publico 6,63 6,6
publico 6,63 5,46
publico 6,62 6,48
publico 6,62 5,6325
concertado 6,62 4,37
concertado 6,62 5,56
publico 6,61 2,85
concertado 6,61 5,05
publico 6,61 5,43
concertado 6,61 6,39
concertado 6,61 5,02
publico 6,6 4,33
concertado 6,6 4,9525
publico 6,6 5,51
concertado 6,6 6,27
publico 6,6 6,26
publico 6,59 6,1
concertado 6,59 6,18
publico 6,59 4,93
publico 6,59 4,55
publico 6,59 4,51
publico 6,58 6,78
concertado 6,58 4,45
concertado 6,58 5,7075
publico 6,58 4,57
concertado 6,58 6,25
publico 6,57 5,17
publico 6,57 6,7
publico 6,57 5,76
publico 6,56 5,08
publico 6,56 5,41
publico 6,56 6,1075
publico 6,56 6,7925
concertado 6,56 5,51
publico 6,56 5,96
concertado 6,56 5,95
publico 6,55 6,4425
publico 6,55 5,9125
concertado 6,55 7,19
concertado 6,54 4,88
publico 6,54 6,04
concertado 6,54 6,2
concertado 6,54 4,54
publico 6,54 6,5
publico 6,54 5,13
publico 6,54 6,63
publico 6,53 5,3825
concertado 6,53 6,03
publico 6,53 5,69
publico 6,53 4,8475
concertado 6,53 6,12
publico 6,52 6,525
publico 6,52 4,8175
publico 6,52 5,49
publico 6,52 4,77
publico 6,52 5,83
publico 6,51 6,3
concertado 6,51 6,005
concertado 6,51 6,86
publico 6,51 6,4
publico 6,5 5,17
publico 6,5 5,0425
publico 6,5 5,015
publico 6,5 5
concertado 6,5 4,83
concertado 6,5 4,84
publico 6,49 6,035
publico 6,49 5,55
publico 6,49 6,82
publico 6,49 3,92
publico 6,49 5,75
concertado 6,48 5,79
publico 6,48 6,3275
concertado 6,48 5,6425
publico 6,48 6,215
concertado 6,48 6,28
concertado 6,48 4,51
concertado 6,47 4,1925
publico 6,47 6,19
publico 6,47 6,3575
publico 6,47 6,37
publico 6,47 6,1
concertado 6,47 6,245
publico 6,46 5,3525
concertado 6,46 4,01
publico 6,46 5,49
publico 6,46 4,69
publico 6,46 5,39
concertado 6,45 5,47
privado 6,45 5,61
privado 6,43 6,0925
concertado 6,43 5,46
publico 6,42 5,25
publico 6,42 5,245
publico 6,42 5,51
publico 6,42 5,8
publico 6,42 6,55
concertado 6,42 5,41
publico 6,41 3,38
concertado 6,41 5,975
concertado 6,41 5,59
publico 6,41 6,0925
publico 6,41 5,3575
concertado 6,41 4,72
concertado 6,41 4,75
publico 6,4 4,06
publico 6,4 6,52
publico 6,4 4,975
concertado 6,4 6,07
publico 6,39 5,25
concertado 6,38 5,48
publico 6,38 5,03
concertado 6,38 5,23
publico 6,38 4,23
publico 6,38 4,32
concertado 6,37 4,34
concertado 6,37 4,97
publico 6,36 5,03
concertado 6,36 6,13
publico 6,36 6,97
concertado 6,35 5,3
publico 6,34 3,98
publico 6,34 4,185
publico 6,34 5,2775
publico 6,34 6,17
concertado 6,34 4,8575
publico 6,34 4,835
publico 6,34 5,2075
publico 6,33 4,64
concertado 6,33 5,13
concertado 6,33 5,26
publico 6,33 5,1325
publico 6,33 6,16
publico 6,32 5,63
publico 6,32 5,26
publico 6,32 6,46
publico 6,32 4,97
concertado 6,31 4,62
publico 6,31 6,11
publico 6,31 4,4
publico 6,31 5,95
publico 6,31 4,97
publico 6,3 5,335
publico 6,3 5,14
publico 6,3 6,24
publico 6,3 6,365
publico 6,3 7,0325
publico 6,29 5,765
publico 6,29 5,28
concertado 6,29 5,27
publico 6,29 4,72
publico 6,29 6,29
publico 6,28 5,02
concertado 6,28 5,265
publico 6,27 4,6775
publico 6,27 4,7
publico 6,27 3,76
publico 6,27 6,39
concertado 6,27 3,525
publico 6,27 4,5
concertado 6,26 6,72
publico 6,26 5,58
concertado 6,25 5,59
publico 6,25 4,98
publico 6,25 6
publico 6,24 4,03
publico 6,24 5,96
concertado 6,23 5,5
publico 6,23 5,14
concertado 6,23 5,54
publico 6,23 5,1875
publico 6,23 6,8575
publico 6,23 6,915
concertado 6,22 4,82
publico 6,22 0
concertado 6,22 5,29
concertado 6,22 5,67
publico 6,22 7,18
publico 6,21 5,58
publico 6,21 4,84
publico 6,21 4,95
concertado 6,21 5,09
concertado 6,21 6,26
publico 6,2 6,27
concertado 6,2 5,21
concertado 6,2 5,52
concertado 6,2 4,6
publico 6,2 5,14
publico 6,2 4,02
publico 6,2 4,0575
publico 6,19 4,38
concertado 6,18 3,9175
concertado 6,18 3,84
publico 6,18 4,54
publico 6,18 6,47
publico 6,17 5,0575
concertado 6,17 5,06
concertado 6,17 6,48
publico 6,17 5,9
publico 6,17 4,98
concertado 6,17 6,83
publico 6,16 6,1
publico 6,16 3,9875
publico 6,15 5,53
concertado 6,15 4,23
publico 6,15 4,865
publico 6,14 5,19
publico 6,14 5,9
publico 6,14 4,92
concertado 6,14 5,17
concertado 6,14 4,61
publico 6,13 5,6475
publico 6,13 5,1
concertado 6,12 5,36
publico 6,12 5,2325
publico 6,12 4,3
concertado 6,11 6,39
publico 6,11 4,42
publico 6,11 5,92
publico 6,1 6,4375
publico 6,1 4,4325
privado 6,1 7,08
concertado 6,09 3,73
publico 6,09 5,955
publico 6,08 4,33
concertado 6,08 4,4175
publico 6,08 4,57
publico 6,08 5
publico 6,08 5,13
publico 6,08 5,31
publico 6,08 5,7175
concertado 6,07 5,4
publico 6,07 6,57
publico 6,07 6,08
publico 6,07 5,37
publico 6,06 4,84
privado 6,06 5,23
concertado 6,06 5,6
publico 6,06 5,83
publico 6,06 7,095
publico 6,06 5,25
concertado 6,06 5,2
publico 6,05 5,4575
publico 6,05 5,7
concertado 6,05 4,83
concertado 6,05 4,28
publico 6,05 5,62
publico 6,04 5,23
publico 6,04 6,5325
publico 6,04 6,66
publico 6,03 4,82
publico 6,03 6,47
publico 6,03 5,2825
publico 6,03 4,03
publico 6,02 6,685
publico 6,02 5,19
concertado 6,02 5,55
privado 6,02 5,02
publico 6,02 4,96
concertado 6,02 5,99
publico 6,01 6,37
publico 6,01 5,33
concertado 6 5,1425
publico 6 5,3175
concertado 6 6,99
publico 6 2,61
concertado 6 6,56
publico 5,99 4,52
publico 5,99 3,4
concertado 5,99 4,6875
publico 5,98 5,47
publico 5,98 6,1525
concertado 5,98 5,23
publico 5,98 5,9175
publico 5,97 2,74
publico 5,97 4,67
publico 5,97 4,24
publico 5,97 5,02
publico 5,97 5,78
concertado 5,97 5,43
publico 5,96 4,7875
publico 5,96 3,765
publico 5,96 5,2575
publico 5,96 4,2
publico 5,96 5,2
publico 5,95 4,48
publico 5,95 7,16
publico 5,95 5,49
publico 5,95 5,4
publico 5,94 5,95
publico 5,94 4,7
publico 5,93 3,6
concertado 5,93 5,2025
publico 5,92 6,34
publico 5,91 6,3275
concertado 5,91 6,51
publico 5,91 4,83
publico 5,91 5,095
publico 5,91 3,2
publico 5,9 6,55
publico 5,9 4,13
publico 5,9 5,3
publico 5,9 4,5
publico 5,9 5,7825
publico 5,9 4,61
publico 5,9 4,38
publico 5,89 5,3225
concertado 5,89 3,89
publico 5,89 4,1
publico 5,89 3,8975
publico 5,89 5,2
publico 5,88 4,81
publico 5,88 4,29
concertado 5,87 4,69
publico 5,86 3,46
publico 5,85 4,76
publico 5,85 4,16
publico 5,85 4,8675
publico 5,85 4,8925
publico 5,85 4,52
publico 5,85 2,2
publico 5,84 4,39
publico 5,84 5,54
publico 5,84 3,9375
publico 5,84 6,2625
publico 5,83 4,34
concertado 5,83 4,94
publico 5,83 4,59
concertado 5,83 4,4675
publico 5,83 5,325
concertado 5,82 0
publico 5,82 5,82
publico 5,82 5,21
publico 5,82 4,9
publico 5,82 6,91
publico 5,81 6,315
publico 5,81 5,35
publico 5,81 5,97
publico 5,81 4,03
publico 5,81 5,4275
publico 5,8 3,97
publico 5,79 3,66
concertado 5,79 4,14
publico 5,79 5,37
publico 5,78 4,11
publico 5,78 5,33
publico 5,78 4,22
publico 5,78 3,83
concertado 5,77 5,51
concertado 5,77 4,86
publico 5,77 4,06
publico 5,76 5,01
publico 5,75 5,03
publico 5,75 4,6
publico 5,75 4,15
publico 5,75 4,46
concertado 5,74 5,1925
publico 5,73 3,79
publico 5,73 3,86
concertado 5,72 5,23
publico 5,72 5,59
publico 5,71 4,345
publico 5,71 4,62
concertado 5,71 4,1
publico 5,7 4,35
concertado 5,7 6,4675
publico 5,7 4,255
publico 5,69 5,17
publico 5,69 5,28
publico 5,69 3,22
publico 5,69 5,59
publico 5,68 6,85
publico 5,68 3,57
concertado 5,67 4,86
publico 5,67 3,86
publico 5,67 5,5075
publico 5,66 6,18
concertado 5,66 5,99
publico 5,66 5,06
publico 5,66 4,16
concertado 5,65 6,82
publico 5,65 5,92
publico 5,65 5,515
publico 5,64 4,74
publico 5,64 5
publico 5,64 3,87
publico 5,64 4,495
publico 5,63 3,86
publico 5,63 5,04
publico 5,63 5,15
publico 5,63 2,79
publico 5,63 3,75
publico 5,62 4,57
publico 5,62 4,7725
publico 5,61 3,99
concertado 5,61 4,22
privado 5,61 4,64
publico 5,6 3,16
publico 5,6 5,1
publico 5,6 4,54
publico 5,59 4,6
publico 5,59 4,6
publico 5,57 5,31
publico 5,56 5,22
publico 5,56 6,54
publico 5,56 3,7
publico 5,55 5,1075
publico 5,55 5,0575
publico 5,53 4,28
publico 5,53 3,5
publico 5,52 5,84
concertado 5,52 4,77
concertado 5,51 4,22
publico 5,51 4,58
publico 5,5 3,515
concertado 5,5 5,75
publico 5,5 3,65
publico 5,49 5,25
publico 5,48 3,9425
publico 5,48 3,74
publico 5,48 4,93
publico 5,48 5,5275
publico 5,47 4,49
publico 5,46 6,01
publico 5,45 4,935
concertado 5,44 3,4325
publico 5,44 5,57
publico 5,44 5,3425
concertado 5,43 4,92
publico 5,43 3,83
publico 5,43 3,79
publico 5,42 5,19
concertado 5,42 3,78
publico 5,42 7,13
publico 5,41 4,95
publico 5,4 3,48
publico 5,39 3,78
concertado 5,39 4,75
publico 5,37 5,69
publico 5,37 4,945
publico 5,37 4,02
publico 5,36 4,09
concertado 5,35 5,46
concertado 5,35 1,75
concertado 5,35 5,97
publico 5,34 3,97
publico 5,33 7,61
publico 5,33 4,6
publico 5,33 5,1575
privado 5,33 3,75
publico 5,33 5,26
publico 5,33 4,33
concertado 5,32 5,7025
publico 5,32 4,98
publico 5,32 3,42
publico 5,31 2,67
publico 5,31 3,39
publico 5,3 2,61
publico 5,3 5,68
publico 5,3 3,05
publico 5,29 4,43
publico 5,29 4,6725
concertado 5,29 4,93
publico 5,29 4,125
publico 5,29 4,61
publico 5,27 3,4875
publico 5,27 0
concertado 5,26 4,59
publico 5,26 3,81
publico 5,25 5,61
publico 5,25 2,56
publico 5,24 5,65
publico 5,24 5,13
publico 5,24 4,99
publico 5,22 6,17
publico 5,22 5,5325
publico 5,22 5,1075
publico 5,22 6,46
publico 5,22 4,28
concertado 5,21 4,96
publico 5,21 4,5275
publico 5,21 3,55
publico 5,21 5,84
publico 5,2 4,91
publico 5,19 5,71
publico 5,18 3,29
publico 5,17 4,4725
publico 5,17 3,9
publico 5,14 5,9
publico 5,14 5,34
publico 5,13 5,0275
publico 5,13 5,61
concertado 5,12 3,48
publico 5,11 4,65
publico 5,1 4,34
publico 5,1 3,87
publico 5,1 4,23
publico 5,08 0
publico 5,07 5,78
concertado 5,07 7,2
publico 5,05 4,35
publico 5,04 3,05
publico 5,03 3,735
publico 5,03 2,71
publico 5,01 5,08
publico 5,01 5,59
publico 5 4,44
concertado 5 2,13
publico 4,99 4,81
publico 4,98 4,02
publico 4,97 5,7
concertado 4,97 5,13
concertado 4,97 4,94
concertado 4,95 5,39
publico 4,94 3,57
publico 4,93 4,56
concertado 4,92 3,91
concertado 4,92 4,33
publico 4,91 5,9
publico 4,88 5,175
publico 4,83 2,26
publico 4,83 6,7
publico 4,83 4,42
publico 4,83 7,725
publico 4,83 4,23
publico 4,8 5,8
publico 4,79 5,33
publico 4,76 3,17
publico 4,75 3,33
publico 4,72 2,7425
publico 4,71 5,0175
publico 4,71 4,985
publico 4,65 3,97
publico 4,6 5,15
concertado 4,58 3,58
publico 4,58 4,5625
publico 4,55 6,01
publico 4,54 5,17
publico 4,52 5,0675
concertado 4,52 4,46
publico 4,51 6,46
publico 4,46 4,01
concertado 4,45 4,17
publico 4,43 5,3
publico 4,4 4,84
publico 4,39 3,46
publico 4,39 4,91
publico 4,33 3,675
publico 4,32 4,4425
publico 4,31 4,1825
publico 4,31 4
publico 4,31 4,29
privado 4,28 1,95
publico 4,26 5,42
publico 4,24 4,04
publico 4,24 3,08
publico 4,19 3,06
publico 4,18 2,1
publico 4,08 5,94
publico 4,07 4,235
publico 4,02 2,46
publico 3,98 2,18
publico 3,96 3,25
publico 3,95 3,96
privado 3,88 3,8
concertado 3,87 10,53
publico 3,78 3,11
publico 3,75 4,66
publico 3,75 2,6
publico 3,74 2,42
publico 3,71 3,53
concertado 3,67 4,51
publico 3,64 3,78
publico 3,53 4,85
publico 3,38 3,21
publico 3,31 1,36
publico 2,93 2,92
publico 2,77 2,51
privado 2,75 2,25
publico 2,64 2,77
concertado 2,64 1,94
publico 2,17 1,88
